age,monthly_income,rent,food,transport,other_expenses,total_expenses,monthly_savings,health_score
35,45422,7434,4696,2492,4788,19410,25255,90
48,102395,24172,16204,11523,11139,63038,40869,80
30,62371,18035,10834,4811,8947,42627,21503,75
36,35693,8623,6245,2503,4376,21747,14437,70
36,63535,10700,9676,6399,9007,35782,30627,85
47,132279,34481,18703,14358,18629,86171,46819,80
34,61238,17044,5347,6759,6764,35914,26012,85
53,114047,33160,13062,8225,11721,66168,46258,90
53,97775,21965,8916,10721,10339,51941,47077,85
25,25616,6730,5011,1354,3786,16881,7780,65
51,116677,28018,11225,6239,14854,60336,56389,90
44,133555,37984,13116,12506,8096,71702,60241,90
36,39956,10656,7461,2174,5108,25399,17378,70
50,95734,24426,18502,6962,6419,56309,36826,85
34,40837,8163,7019,3964,3868,23014,17476,80
53,90603,13627,7307,6669,6436,34039,59175,95
28,27676,5114,2218,1731,3292,12355,16645,85
43,131926,22877,16539,9194,18170,66780,67840,90
49,118803,28490,11548,9745,9389,59172,60554,100
23,17050,4645,1401,1419,992,8457,5860,85
27,26692,5141,3621,2797,2131,13690,15526,75
49,71312,24090,13775,7310,8360,53535,20689,55
49,143376,21698,17041,11753,11882,62374,83132,100
41,134526,40957,21434,14689,10467,87547,49418,80
51,94179,25903,14905,5462,6445,52715,42685,85
32,35542,7986,3914,2412,3545,17857,16410,80
49,90379,14469,14284,9757,7012,45522,42969,85
46,67297,18540,7098,5145,8284,39067,27905,85
54,52011,11812,4922,6172,2999,25905,28577,95
22,39557,13340,6493,3268,4604,27705,13636,60
48,61738,15952,5779,6509,4553,32793,27225,85
34,46052,15562,9193,3599,4555,32909,11375,50
24,19494,3783,1988,1554,1532,8857,12013,85
27,30152,8899,4561,2315,3686,19461,12229,70
29,39440,10784,5102,3957,5700,25543,12760,70
48,72852,21701,6933,6434,10323,45391,29393,75
30,71424,13780,5952,8289,7738,35759,37149,85
54,50929,14412,7880,3440,4902,30634,17911,75
45,127487,31821,22541,7271,16806,78439,46194,80
36,40634,12131,7356,3150,4808,27445,14805,70
53,145040,31242,20004,13513,9914,74673,72092,90
53,67438,22120,11686,7435,8908,50149,17966,55
45,98515,16438,15835,7313,9150,48736,47067,95
33,54345,16925,9070,5204,3744,34943,17811,75
23,38870,12526,5407,2896,3038,23867,12016,70
24,23202,7272,3619,2162,1780,14833,5625,55
38,55121,13920,9737,6170,5617,35444,18398,75
23,29561,7025,3776,1956,2170,14927,13057,75
23,30512,10656,5392,2388,1902,20338,12500,70
49,148746,29129,22466,17779,9277,78651,72048,90
44,143762,37288,14362,15928,15573,83151,60601,90
53,120188,34149,9971,10759,14840,69719,48664,90
54,139859,40583,17276,12050,11489,81398,60020,90
22,31220,5956,4545,2182,1669,14352,18233,90
40,97093,27263,17552,8369,6089,59273,36064,75
23,20429,6408,1946,2234,2890,13478,7174,65
47,122127,19540,21497,11963,12133,65133,59296,90
53,141369,46977,25949,9938,13480,96344,45495,80
27,16389,2555,1607,1050,881,6093,11463,85
53,76417,16902,13922,5239,9388,45451,31935,85
25,22274,3411,4431,1378,2289,11509,9071,75
32,63160,10448,10561,3580,4434,29023,33258,95
38,55000,18272,9579,4363,3355,35569,18833,75
45,52169,11527,10398,3022,4608,29555,25460,85
26,25745,6048,3930,1597,3442,15017,8224,75
27,37786,7295,4418,3336,5158,20207,17978,80
43,121849,32828,21994,7496,13438,75756,48176,80
32,72080,19386,11081,3926,8848,43241,29445,85
37,53561,12021,8020,3868,3294,27203,24267,85
54,81778,17713,9031,5350,8898,40992,38158,85
30,50281,16441,8585,4327,5867,35220,16518,65
27,22214,5034,1994,1269,1556,9853,10705,85
37,55364,13769,10569,5681,7641,37660,15027,65
50,116321,24039,13853,13195,8084,59171,56581,90
24,28832,8861,2748,2942,2345,16896,13606,75
41,56344,12930,7498,4918,6313,31659,26516,85
40,68800,17387,5854,7584,7831,38656,29928,85
47,75372,15125,12221,7435,9040,43821,30944,85
24,22657,7874,4266,1149,1386,14675,8902,65
40,70538,14693,12730,5472,9518,42413,26340,75
41,113918,34647,10854,12481,11765,69747,42866,80
53,64973,15301,6182,4821,6310,32614,31266,85
28,39578,7569,7029,2076,5861,22535,18857,80
54,109500,33938,20904,11194,13582,79618,27662,60
39,77684,16835,10509,8245,4800,40389,35314,85
22,22287,7199,3117,1364,2800,14480,8072,65
32,69851,23263,8255,6119,4157,41794,26460,85
49,53236,17140,9971,3377,2808,33296,18366,75
46,65848,10338,10363,6607,5950,33258,30253,85
44,52352,16096,5999,3612,7819,33526,21694,75
52,51932,12062,6016,3746,3504,25328,26251,95
51,126449,41063,23638,13801,14827,93329,30130,60
28,32674,9070,2667,2723,2200,16660,14052,80
37,37788,11968,4486,3661,4628,24743,12870,70
47,55498,13868,8131,4338,5579,31916,23585,85
23,38874,9990,3801,2754,4587,21132,19422,80
22,25874,4628,2355,2426,1818,11227,12722,85
33,41280,12664,7340,2511,5141,27656,13712,70
26,20016,4681,3749,1523,2993,12946,9540,65
53,106882,26722,19114,6908,12458,65202,44227,80
30,52804,16211,9919,5212,5245,36587,19167,75
40,50340,13580,7368,5844,7164,33956,15173,75
37,74857,14239,13284,8959,3861,40343,34550,85
24,30585,8198,3856,2493,3761,18308,14115,80
41,112443,26033,17985,7609,15615,67242,48073,90
45,141668,34553,28143,11474,7957,82127,60194,90
54,124027,19306,13281,13557,11783,57927,66275,100
45,50138,9626,6356,3229,3533,22744,28693,95
32,75454,15559,10382,8801,8047,42789,30741,85
29,18972,5551,1831,1402,2180,10964,5981,75
41,135376,20617,12146,16110,10865,59738,78132,100
46,149931,34747,26922,16297,14393,92359,56437,80
46,80654,27003,15906,8597,6285,57791,22988,55
50,75879,13079,9755,5482,6596,34912,39266,95
39,71732,18168,6493,3630,4731,33022,39116,95
39,69261,21284,6087,5315,9596,42282,29129,75
23,23987,8119,4484,1706,1223,15532,6613,55
37,35439,10608,4807,1864,4899,22178,13390,70
54,114353,33632,13539,9762,12254,69187,42270,80
25,27880,8790,3824,2180,2318,17112,11335,65
54,63283,15139,7479,5975,7739,36332,28299,85
35,43279,13467,6002,4045,4361,27875,16794,70
42,89420,13555,16376,5226,8934,44091,43510,95
41,105568,35356,15948,12497,6441,70242,36970,80
29,17396,4151,2841,1097,1547,9636,7898,75
28,33546,8744,4151,2722,2485,18102,18317,80
24,34129,6859,5754,2872,1760,17245,18278,80
38,61182,18263,9788,6541,5262,39854,21862,75
54,96840,16010,9136,5514,5711,36371,63313,95
33,41824,13573,6219,3346,3165,26303,18460,70
43,134754,42531,14931,12666,7984,78112,57838,90
43,127988,24728,22588,8327,7691,63334,64781,100
51,108342,33788,14204,10175,7573,65740,41376,80
29,22314,6856,4448,2558,3346,17208,5920,45
48,51307,14183,4674,6147,2576,27580,25696,85
48,130388,29298,22640,6815,14846,73599,53880,90
42,140768,28758,22641,9359,9026,69784,68430,100
51,85428,16774,14702,6127,12136,49739,32797,85
54,142021,30352,16602,11068,8430,66452,76981,100
49,125774,41594,17488,8421,18300,85803,40210,80
54,88975,14727,15622,5716,9884,45949,45957,85
26,33988,10732,3667,3970,1703,20072,14969,80
40,74842,16448,8017,8554,10433,43452,33944,85
25,35670,9071,5212,1900,3644,19827,17380,80
38,63548,19629,9076,4684,4846,38235,23558,75
49,53630,17530,6106,4202,6796,34634,18716,75
51,69595,15238,8056,4644,9928,37866,34376,85
50,126021,30543,14283,11848,12396,69070,54228,90
27,31106,7244,5368,2949,2536,18097,13065,80
45,94789,14469,14998,10382,12217,52066,44387,85
50,105690,22109,19012,10765,12490,64376,43419,80
52,76086,18400,14993,6694,10566,50653,25355,75
54,66859,15525,9152,6401,7973,39051,27321,85
42,57684,16981,5076,3990,4288,30335,25187,85
53,141088,32021,12101,12911,20198,77231,63658,90
44,51207,12692,5913,4313,3097,26015,27895,85
54,96099,22671,18441,5701,7379,54192,38936,85
24,17719,5282,2530,1186,1807,10805,5171,55
39,68714,22166,7738,4838,7323,42065,24013,75
46,79689,20430,10192,9140,4106,43868,34621,85
52,98651,30373,14978,6523,12632,64506,37063,75
24,24766,5184,3921,1739,2133,12977,14747,75
45,147808,38174,14554,11211,13397,77336,68376,90
53,116418,25500,22962,11229,15243,74934,43277,80
43,110011,25614,15992,6411,9673,57690,51499,90
44,88635,26278,8534,10350,4850,50012,38473,85
23,25177,8216,4714,2784,1703,17417,7596,65
48,145071,25285,12905,13115,21120,72425,75597,100
23,24882,6890,4700,2418,1419,15427,10901,65
47,122702,32691,24489,6278,10490,73948,45933,80
38,48544,8431,7963,3578,4869,24841,24576,80
54,122805,23625,21178,12980,12197,69980,55424,90
30,60841,12910,7329,3372,3066,26677,35124,95
50,78064,14315,15065,5445,7815,42640,33610,85
47,129063,25650,18529,11740,11406,67325,64640,90
46,52454,10675,8806,3564,7721,30766,22647,85
45,70878,15390,13530,8177,4671,41768,26883,85
34,73950,22175,14569,4375,6316,47435,28120,75
28,26718,7063,4808,2827,2456,17154,11024,65
41,62991,21873,7329,5389,5610,40201,20142,75
22,24439,5692,4789,2505,2849,15835,10806,65
29,28281,8506,4394,2029,2023,16952,13673,75
37,44215,14338,8475,3803,3188,29804,15918,70
35,63069,18024,10162,6936,7752,42874,22025,75
33,53911,12527,6300,4457,5392,28676,25263,85
44,119338,35887,14845,8971,10921,70624,45831,90
36,59334,11316,8666,5193,3970,29145,27670,95
49,71083,15319,12425,7123,4887,39754,32616,85
23,22059,5720,2606,1787,1126,11239,10457,75
53,72190,19136,10797,8353,4269,42555,26741,85
44,56142,8669,6819,3966,5933,25387,32232,95
43,78398,26578,13946,6529,10912,57965,22311,55
46,101971,29502,13868,10501,8026,61897,37317,80
43,91862,22886,8194,9024,7603,47707,43787,85
43,148668,50045,14855,16421,9152,90473,59758,80
27,29859,7101,2607,3576,2653,15937,11787,75
36,43057,14901,6024,3439,2313,26677,16361,70
54,98456,24855,9132,5688,13957,53632,43385,85
29,34136,5900,3198,1779,4004,14881,21584,90
26,39597,11996,7639,3994,5902,29531,7669,40
25,35953,10274,6641,3997,4971,25883,12826,60
27,26383,8036,3541,1726,2567,15870,10575,65
53,65072,22143,12903,3975,6635,45656,20434,65
51,130018,39694,10404,7067,8978,66143,66067,90
37,50567,13767,7771,5440,4864,31842,17740,75
34,59739,19203,9198,4289,8381,41071,17326,65
51,71826,20445,9688,5610,3956,39699,32507,85
40,118026,27337,15064,10054,16093,68548,50245,90
38,57044,18660,7680,6204,4797,37341,20473,75
40,74045,14392,9610,7075,10362,41439,35435,85
49,100876,29549,16912,9386,14535,70382,29107,70
47,142446,46481,13709,8873,16678,85741,58660,80
47,140102,41507,14530,12038,16313,84388,54593,80
44,101919,29500,10361,10199,9710,59770,44521,90
30,48450,14560,5402,5723,6470,32155,17403,70
33,46406,11277,6637,2974,6782,27670,18082,80
22,26296,8541,2454,1332,3352,15679,8716,75
22,22813,4350,4201,1260,2559,12370,8517,75
53,136698,23987,15813,10431,15129,65360,69124,100
46,86674,17950,8624,9312,11696,47582,36240,85
22,26745,6855,4307,1350,2784,15296,10203,75
37,59806,15077,5057,4902,7797,32833,26142,85
26,18356,5765,2834,1340,1851,11790,8965,65
43,127949,29545,20955,6867,7196,64563,64142,90
50,50276,12411,5318,4098,4444,26271,22184,85
24,21540,3288,1831,1461,2034,8614,13235,85
33,55860,12956,6906,4168,3584,27614,27669,95
47,61944,17316,5688,6156,3732,32892,30229,85
37,46832,7170,4401,4051,4849,20471,27948,90
43,131442,27100,14525,7718,7691,57034,72332,100
50,99847,19129,11527,11711,8017,50384,51855,85
35,51727,8193,7427,4888,6437,26945,23385,85
49,136072,33453,21962,14098,19926,89439,46685,80
26,33207,6187,5018,1844,4044,17093,18806,80
51,77810,23235,7610,4146,11614,46605,32423,85
26,28261,9031,2844,1451,3386,16712,13352,75
33,33081,8571,6134,2091,2625,19421,13037,80
37,64196,22233,9436,5072,7524,44265,20411,75
47,86976,20882,16037,10046,10455,57420,31642,75
47,61590,15562,7673,5050,5368,33653,28119,85
42,60886,21178,9359,4281,3152,37970,22733,75
54,62866,12341,8979,5616,7564,34500,28526,85
51,116624,39478,13796,6744,6084,66102,52327,90
44,118899,18853,16216,11017,13449,59535,61253,90
31,61656,14752,8650,5536,4091,33029,26338,85
26,35500,5822,3695,3743,3782,17042,18044,90
52,136156,40281,16039,16211,13668,86199,49605,80
31,49363,13411,8637,3335,2534,27917,20163,80
40,128471,37427,24395,11006,11085,83913,45910,80
53,58068,13059,7152,6597,6393,33201,27175,85
22,16682,3735,1949,1750,2249,9683,4869,65
26,20626,3280,2133,1735,2864,10012,11188,85
25,22424,4933,3619,2605,2206,13363,11888,75
37,56832,19087,6750,3069,6981,35887,22849,75
45,144754,32692,28738,16671,11818,89919,52105,80
37,49873,15773,5938,2669,4200,28580,19836,80
23,34982,11140,4453,3089,2429,21111,11420,70
49,102327,22987,15594,11494,10866,60941,43619,90
53,143718,39723,25323,9828,11706,86580,58801,80
48,127064,21483,17324,10553,7425,56785,71293,100
41,71281,12170,9317,5182,8446,35115,37620,95
45,104189,16642,20783,12153,12583,62161,44797,90
33,35110,9346,2853,3779,3019,18997,18846,80
54,58605,13784,10983,5838,3379,33984,27074,85
54,51381,13338,5030,4682,4759,27809,22284,85
33,47081,11968,8206,5058,4436,29668,17653,70
24,33639,7401,5185,2605,3931,19122,12879,80
22,34994,9990,4235,2846,2853,19924,16963,80
54,91869,27716,16983,9287,10864,64850,25303,55
31,72003,11011,5871,5403,9875,32160,37729,95
50,111388,21325,11941,6067,8214,47547,66695,100
34,77639,22720,11492,4285,11482,49979,29978,75
33,31013,7050,3789,1801,2748,15388,14883,90
52,117628,33229,18025,13042,9025,73321,45689,80
23,18380,4032,1523,1526,1693,8774,12417,85
44,134050,30583,12597,13391,7967,64538,68297,100
38,37909,6889,3610,2938,2371,15808,23939,90
47,72031,14524,7398,4906,6586,33414,39160,95
29,28997,7860,3918,2154,3660,17592,14006,65
50,130807,30953,22270,13812,18317,85352,47597,80
47,121312,36983,22887,11374,14130,85374,33233,60
31,56661,18160,10212,6551,3429,38352,17362,75
47,62449,16132,6471,6093,7319,36015,26031,85
28,23884,7204,3175,2147,2711,15237,6327,55
25,20655,4366,2146,1915,2697,11124,12518,75
32,45379,10573,5070,5262,6013,26918,20351,80
50,96092,28112,13493,10106,13147,64858,32532,75
46,113671,25830,10022,5874,10391,52117,58878,100
42,60350,16155,6408,5273,7229,35065,24576,85
31,66060,12358,12699,6486,5075,36618,30864,85
30,59197,15980,8046,6062,8875,38963,18220,75
45,67622,21794,9023,4390,4566,39773,27967,85
39,46087,14919,3767,5101,2350,26137,17710,80
53,103117,30405,11310,12055,6690,60460,43350,90
45,108394,32426,19939,7215,13829,73409,33021,80
44,73782,19300,7360,8247,6985,41892,29796,85
53,78454,20942,10184,4455,7433,43014,37939,85
33,57523,10166,4700,3100,8369,26335,28552,95
34,66727,15932,9168,3939,9472,38511,28629,85
44,72173,17332,5955,3900,5854,33041,41472,95
46,83204,28430,14839,9081,5899,58249,27699,65
51,85596,20219,15320,4633,11542,51714,31951,75
38,46029,11961,8033,3176,6471,29641,17757,70
41,111202,28540,12677,6367,11582,59166,51291,90
46,139400,38662,25157,9852,15744,89415,52965,80
43,80750,24196,11721,4549,6112,46578,34858,85
34,73922,14415,9229,7152,9615,40411,34730,85
40,66566,17023,10320,3949,7536,38828,27819,85
33,33390,10523,2720,3660,3350,20253,15585,70
40,138607,33629,13466,14859,7763,69717,69148,90
33,42693,8781,7218,2175,6045,24219,21261,80
30,79815,22423,8723,8995,8902,49043,29879,75
28,23357,7351,3544,1215,1617,13727,9563,75
49,51589,8389,6511,3444,5707,24051,27367,95
35,51817,15822,9460,2708,6101,34091,15167,65
52,50159,15766,9745,3687,5145,34343,18152,75
40,62145,15058,11560,5342,7569,39529,24622,75
37,73934,25630,8315,7819,7995,49759,26296,75
26,34880,10720,3603,2569,5049,21941,11498,70
33,40258,12267,5512,4001,2229,24009,14990,80
46,58244,17448,4710,3676,3531,29365,31709,85
42,64743,11661,5379,6638,4361,28039,34329,95
44,147102,28456,21534,9785,17507,77282,70683,90
37,58854,14289,8383,3534,6742,32948,24596,85
35,36256,7352,7227,2283,5047,21909,16440,70
52,149532,34848,15584,9382,18435,78249,71064,90
26,34501,11305,3828,2963,3478,21574,10017,60
44,121126,38138,11340,13219,18069,80766,40366,80
50,106071,29276,20164,5894,8126,63460,43913,90
32,49194,15821,8527,4894,6558,35800,11482,50
39,55051,16887,9836,5274,5102,37099,19563,75
33,57386,13531,10807,6374,6592,37304,18262,75
30,39518,7516,5650,2651,4849,20666,21740,80
31,76026,19222,10198,6196,8619,44235,30692,85
38,46184,13727,5525,5302,2958,27512,20162,80
28,37431,8881,5641,3600,3529,21651,17973,80
34,51621,14627,6943,3985,5479,31034,17773,75
30,40028,6759,5371,2369,5399,19898,18727,90
48,96154,28807,18503,6574,9073,62957,33605,75
23,29056,9081,5755,2634,4122,21592,8211,45
26,27236,7935,4782,2731,2561,18009,11914,65
50,98688,33894,16856,5793,10350,66893,31465,75
40,139678,44044,22581,12846,18106,97577,43926,80
29,29451,9737,2943,2607,3189,18476,8214,55
22,39217,13204,3415,3371,5726,25716,13081,70
43,139081,43152,22654,13672,16138,95616,44701,80
38,48509,13817,8123,5269,4961,32170,13477,60
28,25433,3844,2177,1846,1331,9198,15741,85
46,118703,28864,22715,13322,10846,75747,44121,80
25,38398,10145,3491,2351,3068,19055,20823,90
27,15089,3180,1724,937,1883,7724,9090,75
52,72736,15537,11687,4995,5151,37370,34611,85
40,77990,26690,7829,4552,5500,44571,34719,85
48,112551,36955,9752,7442,7760,61909,49391,90
31,64865,20746,7766,3726,4058,36296,26136,85
47,129623,29969,22284,13937,10512,76702,54998,90
40,72440,11064,9391,4326,10039,34820,39520,95
24,33279,5525,5269,3404,4242,18440,17645,80
34,72845,15475,10894,3886,8998,39253,31473,85
49,105103,16096,8688,12233,13635,50652,56520,100
41,120812,18536,23996,12054,9295,63881,54570,90
49,91627,30541,7785,4624,12712,55662,38515,75
29,16925,4929,3319,1751,1078,11077,6809,65
22,33440,7082,4881,2875,2796,17634,17226,80
24,21917,3868,4286,2291,2381,12826,10628,75
34,53284,13444,4996,4613,3212,26265,28918,95
49,55793,8428,7746,5293,6863,28330,26798,85
46,55571,18765,5576,5837,4930,35108,21784,75
54,146867,34214,12647,11508,18863,77232,71818,90
27,18389,4238,2833,922,1825,9818,10633,75
53,140930,32148,14788,15431,9595,71962,68953,90
42,93148,15263,14020,7140,11501,47924,42783,85
37,52436,14559,4901,4442,3943,27845,22304,85
42,52224,15489,6258,2639,5174,29560,24257,85
32,32096,9154,5578,2710,1847,19289,13795,70
40,82441,14648,10918,9814,9215,44595,35102,85
41,89129,23687,13844,6192,10391,54114,32591,75
39,73363,19360,11568,5698,6446,43072,27328,85
35,78709,25476,14266,7721,11447,58910,18871,55
36,56201,12691,6687,6015,7722,33115,24591,85
52,73478,16480,11938,5820,8875,43113,27825,85
22,15514,4246,3031,1111,1882,10270,3684,55
24,38678,10698,6483,4473,2910,24564,15592,70
37,35105,8560,4872,3419,4060,20911,13026,80
44,62180,14836,9680,3627,4341,32484,31360,85
32,32839,8171,5541,1800,2114,17626,17380,80
33,33384,10756,5123,2799,5005,23683,10100,60
31,73619,17832,6036,4815,8262,36945,34106,85
53,108272,36594,11192,7338,10079,65203,44220,80
37,43493,10908,7709,4846,3427,26890,15354,70
29,25326,8606,2854,1425,2795,15680,8693,65
33,76907,24346,12904,7696,4226,49172,29732,75
45,104040,23147,12969,7176,6187,49479,57281,100
49,125357,40456,17879,12939,6679,77953,47244,80
29,32650,5616,2878,3283,3262,15039,14867,90
49,128356,43000,13059,6484,14126,76669,49358,90
47,66211,18295,12902,5670,3724,40591,23109,75
29,19780,3182,3695,1181,2415,10473,10021,75
49,113115,31542,17903,12514,8261,70220,41991,80
49,116852,40296,15793,12971,13849,82909,32625,60
48,95968,15734,15459,7608,14221,53022,44357,85
38,31431,8201,4847,2549,3743,19340,11551,70
30,39067,11702,5790,2782,5403,25677,14919,70
54,104575,32632,9108,10474,15144,67358,39338,80
41,130742,30432,20387,9819,12900,73538,58116,90
34,39557,7548,6814,2719,4756,21837,16695,80
49,75599,11980,15066,6067,10220,43333,32482,85
50,137592,36591,11190,7760,11786,67327,68654,100
34,30162,7256,5055,3084,2296,17691,13986,80
27,19644,6674,2919,999,2841,13433,8903,65
39,49675,8053,6561,4724,6091,25429,25102,80
26,39887,11450,3801,2504,2870,20625,17846,80
46,104120,16137,13440,6899,9881,46357,59702,100
23,31002,5713,3798,2929,4019,16459,17106,80
31,58047,13972,6753,6936,6077,33738,24272,85
51,135992,32770,22806,14203,15638,85417,52104,80
26,27732,7962,4550,1825,3476,17813,12593,65
54,52257,17351,7874,3256,5863,34344,19972,75
22,31309,8697,6031,3463,3256,21447,7838,60
39,79733,27165,9726,6465,9963,53319,26778,75
53,76654,25013,8374,4568,9409,47364,26335,75
32,60508,16149,9603,6677,6836,39265,19436,75
42,131423,41629,13649,14078,11299,80655,51110,80
47,79320,22091,9343,9429,7184,48047,32785,75
46,70808,11733,7573,8049,10411,37766,34985,85
43,102389,30523,9040,11224,6270,57057,42578,90
48,145690,24618,26122,7820,11196,69756,76153,100
34,68328,18367,7553,3915,6780,36615,33038,85
54,101168,29392,13836,9087,13523,65838,33121,80
22,27803,4540,2368,2424,1845,11177,14262,85
42,126396,24793,20718,10371,9820,65702,61469,90
27,21675,7220,2593,1685,1226,12724,8372,75
49,107505,29377,18207,8620,12964,69168,40170,80
38,62262,12406,8062,5594,4596,30658,29692,95
26,30921,8909,3200,1550,2747,16406,15698,80
52,140887,37948,19946,9615,13295,80804,60242,90
26,30282,7580,2896,2612,4213,17301,10693,80
24,19703,6802,2617,1981,1795,13195,9353,65
44,73554,21087,8685,4574,4745,39091,36786,85
31,31171,7016,5904,2751,3192,18863,14809,70
31,41918,12995,3659,4192,6132,26978,16636,70
40,108283,35399,17680,8784,11994,73857,37021,80
38,69110,12097,7044,3586,10251,32978,36776,95
42,66923,12722,7916,5450,8975,35063,32750,85
35,32539,6288,4225,2302,1743,14558,17567,90
30,66727,19233,12608,7678,7729,47248,20788,65
22,27473,7434,2997,1613,2161,14205,12376,75
34,52669,14420,4790,5039,5580,29829,24633,85
25,36116,12212,4270,1939,2814,21235,15495,80
22,35098,10711,3248,2851,2979,19789,13551,80
53,130098,22843,12415,11549,18515,65322,63835,90
49,123016,27002,18312,8716,8692,62722,60780,90
52,76672,18177,6694,6276,10535,41682,37269,85
29,39288,9004,3288,2414,2084,16790,24594,90
47,60293,17114,9992,4298,3562,34966,26659,85
24,38279,12570,4723,3578,5185,26056,13033,70
33,52360,11058,4976,3724,5919,25677,28983,95
22,28910,7527,3192,3266,3605,17590,12220,65
26,26561,8177,4171,2496,1884,16728,9438,65
51,52100,12151,5890,4204,5403,27648,27029,85
51,111997,20565,15605,5903,13856,55929,58267,100
38,55000,13474,5203,4673,6200,29550,27192,85
44,70132,11294,10559,7261,6814,35928,34238,85
36,37345,12640,4404,2561,5451,25056,13857,70
